file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,158,css,66a8963a,Kang Lee,2026-04-17,11:50:15,-07:00,2026-04-17T11:50:15-07:00,1,19
style.css,159,css,66a8963a,Kang Lee,2026-04-17,11:50:15,-07:00,2026-04-17T11:50:15-07:00,0,0
style.css,160,css,f15d968e,Kang Lee,2026-04-23,11:57:17,-07:00,2026-04-23T11:57:17-07:00,0,0
style.css,161,css,f15d968e,Kang Lee,2026-04-23,11:57:17,-07:00,2026-04-23T11:57:17-07:00,0,29
style.css,162,css,f15d968e,Kang Lee,2026-04-23,11:57:17,-07:00,2026-04-23T11:57:17-07:00,0,17
style.css,163,css,f15d968e,Kang Lee,2026-04-23,11:57:17,-07:00,2026-04-23T11:57:17-07:00,1,12
style.css,164,css,f15d968e,Kang Lee,2026-04-23,11:57:17,-07:00,2026-04-23T11:57:17-07:00,1,58
style.css,165,css,f15d968e,Kang Lee,2026-04-23,11:57:17,-07:00,2026-04-23T11:57:17-07:00,1,7
style.css,166,css,f15d968e,Kang Lee,2026-04-23,11:57:17,-07:00,2026-04-23T11:57:17-07:00,1,17
style.css,167,css,f15d968e,Kang Lee,2026-04-23,11:57:17,-07:00,2026-04-23T11:57:17-07:00,0,0
style.css,168,css,f15d968e,Kang Lee,2026-04-23,11:57:17,-07:00,2026-04-23T11:57:17-07:00,0,0
style.css,169,css,f15d968e,Kang Lee,2026-04-23,11:57:17,-07:00,2026-04-23T11:57:17-07:00,0,17
style.css,170,css,f15d968e,Kang Lee,2026-04-23,11:57:17,-07:00,2026-04-23T11:57:17-07:00,1,50
style.css,171,css,f15d968e,Kang Lee,2026-04-23,11:57:17,-07:00,2026-04-23T11:57:17-07:00,1,16
style.css,172,css,f15d968e,Kang Lee,2026-04-23,11:57:17,-07:00,2026-04-23T11:57:17-07:00,1,24
style.css,173,css,f15d968e,Kang Lee,2026-04-23,11:57:17,-07:00,2026-04-23T11:57:17-07:00,1,15
style.css,174,css,f15d968e,Kang Lee,2026-04-23,11:57:17,-07:00,2026-04-23T11:57:17-07:00,1,25
style.css,175,css,f15d968e,Kang Lee,2026-04-23,11:57:17,-07:00,2026-04-23T11:57:17-07:00,0,0
style.css,176,css,f15d968e,Kang Lee,2026-04-23,11:57:17,-07:00,2026-04-23T11:57:17-07:00,0,0
style.css,177,css,f15d968e,Kang Lee,2026-04-23,11:57:17,-07:00,2026-04-23T11:57:17-07:00,0,17
style.css,178,css,f15d968e,Kang Lee,2026-04-23,11:57:17,-07:00,2026-04-23T11:57:17-07:00,1,53
style.css,179,css,f15d968e,Kang Lee,2026-04-23,11:57:17,-07:00,2026-04-23T11:57:17-07:00,1,50
style.css,180,css,f15d968e,Kang Lee,2026-04-23,11:57:17,-07:00,2026-04-23T11:57:17-07:00,1,13
style.css,181,css,f15d968e,Kang Lee,2026-04-23,11:57:17,-07:00,2026-04-23T11:57:17-07:00,0,0
style.css,182,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,0,0
style.css,183,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,0,50
style.css,184,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,0,10
style.css,185,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,1,12
style.css,186,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,1,63
style.css,187,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,1,7
style.css,188,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,1,17
style.css,189,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,0,0
style.css,190,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,0,0
style.css,191,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,0,18
style.css,192,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,1,14
style.css,193,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,1,30
style.css,194,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,1,16
style.css,195,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,0,0
style.css,196,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,0,0
style.css,197,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,0,36
style.css,198,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,0,7
style.css,199,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,1,51
style.css,200,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,1,12
style.css,201,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,1,57
style.css,202,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,1,7
style.css,203,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,1,0
style.css,204,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,1,15
style.css,205,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,1,13
style.css,206,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,1,77
style.css,207,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,1,17
style.css,208,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,1,69
style.css,209,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,1,0
style.css,210,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,1,28
style.css,211,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,1,15
style.css,212,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,1,8
style.css,213,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,0,0
style.css,214,css,6f629df8,Kang Lee,2026-04-30,11:52:46,-07:00,2026-04-30T11:52:46-07:00,0,0
